mode sr sr_ci_lo sr_ci_hi phys_mean pf_mean n
KG_On 0.9333 0.7018 0.9881 0.8859 0.7717 15
KG_Off 1.0000 0.7961 1.0000 0.9713 0.9425 15
KG_Smart 1.0000 0.7961 1.0000 0.9725 0.9449 15
