mode sr sr_ci_lo sr_ci_hi phys_mean pf_mean n
KG_On 0.8462 0.5776 0.9567 0.7778 0.6325 13
KG_Off 1.0000 0.7719 1.0000 0.8567 0.7903 13
KG_Smart 0.9231 0.6669 0.9863 0.7598 0.5965 13
