mode sr sr_ci_lo sr_ci_hi phys_mean pf_mean n
KG_On 0.9167 0.6461 0.9851 0.8333 0.6667 12
KG_Off 1.0000 0.7575 1.0000 0.9198 1.0000 12
KG_Smart 1.0000 0.7575 1.0000 0.9198 1.0000 12
