mode sr sr_ci_lo sr_ci_hi phys_mean pf_mean n
KG_On 1.0000 0.7719 1.0000 0.8481 0.7731 13
KG_Off 1.0000 0.7719 1.0000 0.8567 0.7903 13
KG_Smart 1.0000 0.7719 1.0000 0.8502 0.7773 13
