mode sr sr_ci_lo sr_ci_hi phys_mean pf_mean n
KG_On 0.6667 0.4171 0.8482 0.7598 0.5196 15
KG_Off 1.0000 0.7961 1.0000 0.9713 0.9425 15
KG_Smart 1.0000 0.7961 1.0000 0.9481 0.9629 15
