mode sr sr_ci_lo sr_ci_hi phys phys_std mpf mpf_std phys_ok phys_ok_std mpf_ok mpf_ok_std wt wt_std
KG_On 0.7600 0.6259 0.8570 0.7914 0.2515 0.6403 0.4498 0.8879 0.1851 0.8251 0.3332 47.8258 55.0820
KG_Off 1.0000 0.9286 1.0000 0.8528 0.2123 0.7962 0.2967 0.8528 0.2123 0.7962 0.2967 12.8567 4.9015
KG_Smart 0.9400 0.8378 0.9794 0.8825 0.2172 0.8439 0.3147 0.9175 0.1604 0.8978 0.2368 31.5817 54.1610
